text,label
"Bu ürünün kalitesi beklentilerimi karşılamadı, daha iyisini beklemiştim.",0
"Elinize sağlık, ürün gerçekten güzel.",1
"Ürün çok yararlı, denemelisiniz.",1
"Ben de ürünü tavsiye ederim, memnun kaldım.",1
Ürünü denediğinizde siz de beğeneceksiniz.,1
"Gerçekten çok beğendim, teşekkürler.",1
Bu ürünü kullanmayı çok seviyorum.,1
"Ben de bir arkadaşıma önerdim, o da beğendi.",1
Bu ürünü kullanırken çok rahat ediyorum.,1
Bu ürünü almanızı kesinlikle öneririm.,1
"Kendi deneyimlerime dayanarak söylüyorum, ürün gerçekten harika.",1
"Yeni çıkan kitap, okurların ilgisini çekecek.",1
"Siyah tişörtüm, her kıyafete uyum sağlar.",1
"Bu yemek, akşam yemeği için mükemmel bir seçim.",1
"Öğrenciler için bu telefon, kullanışlı ve uygun fiyatlı.",1
Sonbaharda yapraklar renklenir ve düşer.,1
"Gözlüklerim, yaz aylarında vazgeçilmezim.",1
"Buzdolabı, evdeki tüm gıdalarımızı taze tutar.",1
"Bisikletimiz, günlük egzersizimiz için idealdir.",1
"Yumuşacık yatak, rahat bir uyku için gerekli.",1
"Kahve makinesi, sabahları enerjimizi arttırır.",1
Bu fiyata alınabilecek kaçırılmayacak bir ürün.,1
Bu ürün bu fiyata fırsat kaçırılmayacak kadar uygun.,1
Bu fiyatı görünce bu ürünü kaçırmamalısın.,1
Bu fırsatı yakalayarak bu ürünü kaçırmamalısın.,1
Bu fiyat fırsatını değerlendirerek bu ürünü almalısın.,1
Bu ürünün fiyatı kaçırılmayacak kadar indirimli.,1
"Bu ürün bu fiyata çok uygun, kaçırma.",1
Bu fiyata böyle bir ürünü kaçırmak istemezsin.,1
Bu fırsatı kaçırmadan bu ürüne sahip olmalısın.,1
"Bu fiyata bir ürün daha zor bulunur, kaçırma.",1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
Hepsiburada'dan aldığım ürünlerle hep memnun kaldım.,1
"İnternetten alışveriş yapmaktan hoşlanıyorum, özellikle Hepsiburada'dan.",1
"Hepsiburada, hem kaliteli hem de uygun fiyatlı ürünler sunuyor.",1
Bebek ihtiyaçlarımı tamamıyla Hepsiburada'dan karşılıyorum.,1
"Hepsiburada'da geniş bir ürün yelpazesi var, her şeyi bulmak mümkün.",1
Hepsiburada'nın hızlı teslimatı beni her zaman memnun etti.,1
Hepsiburada'dan alışveriş yapmak kullanımı kolay ve pratik.,1
Hepsiburada'yı başka e-ticaret sitelerine tercih ederim.,1
Hepsiburada'nın müşteri hizmetleri birçok konuda yardımcı oldu.,1
"Hepsiburada indirim kampanyaları sıklıkla düzenliyor, bu da çok avantajlı.",1
Tavsiye edemem,0
Önermiyorum,0
İşte tavsiye etmiyorum ,0
Sana tavsiye etmiyorum ,0
Tavsiyede bulunmuyorum ,0
Tavsiye veremem ,0
Tavsiye etmek istemiyorum ,0
Tavsiye etmek doğru değil ,0
Tavsiye vermek istemiyorum ,0
Tavsiye vermeyeceğim,0
Bu kocaman rozetler hiç şık durmuyor.,0
O büyük hoparlörler çok fazla yer kaplıyor.,0
Bu renkli çizgiler göz yoruyor.,0
O devasa yazı fontları okunaklı olabilir ama rahatsız edici.,0
Bu gereksiz desenler aşırı gösterişli.,0
Bu devasa çerçeve sadece ekstra ağırlık.,0
Bu fazla parlaklık gözleri yoruyor.,0
Bu gösterişli düğmeler kullanışsız.,0
Bu gereksiz detaylar basit tasarımı bozuyor.,0
Bu aşırı büyük logo okunması zor.,0
Bu yol üzerinde benzin istasyonu yok.,1
Ben de yeni bir kitap almıştım ama çok zor okunuyor.,1
"Doktorum, sadece bir ilaç yazdı ama etkili olmadı.",1
Bu şehirde otopark sorunu çok büyük.,1
Yeni aldığım çizmeler çok şık ama rahatsız ediyor.,1
Bu restoranın yemekleri lezzetli ama servis çok yavaş.,1
"Benim için önemli olan teknik özellikleri, tasarımı değil.",1
"Bu yaz yeni bir tatil planı yapmayı düşünüyorum, seninle de gideriz belki.",1
Evin konforlu olması önemli ama manzarası da güzel olmalı.,1
"İnternet hızı çok yavaş, buna bir çözüm bulmalıyız.",1
Bu ürün fiyatına göre son derece kullanışlı.,1
Fiyat perfomans oranı çok iyi olan bir ürün.,1
Bu ürünün pratik tasarımı birçok kişi için faydalı olabilir.,1
Gayet iyi bir fiyat performans oranına sahip olan bu ürünü tavsiye ederim.,1
Bu ürün günlük hayatta çok pratiklik sağlayabilir.,1
Fiyatına göre işlevsel bir ürün olduğunu düşünüyorum.,1
Bu ürün bana hem pratiklik hem de uygun fiyat sağladı.,1
Kendi alanında gayet başarılı ve uygun fiyatlı bir ürün.,1
Bu ürünü özellikle bütçesi sınırlı olanlara öneririm.,1
Fiyat performans oranı çok iyi olan bir ürün arayanlar için ideal bir seçenek.,1
"Fsu alımı başladı, ancak nem oranı hiç değişmedi.",0
Nem seviyesi %1 bile değişmeden fsu toplamaya başladık.,0
Hiç bir fark olmadan fsu almaya devam ediyoruz.,0
Fsu alıyoruz ama nem seviyesi aynı kalmaya devam ediyor.,0
Fsu aldık ama nemde herhangi bir değişiklik olmadı.,0
Fsu kullanıyoruz fakat ortamdaki nem oranında değişiklik gözlemlemiyoruz.,0
Fsu topladığımız halde oda nem oranında hiçbir değişiklik olmadı.,0
Fsu tablet aldık ama nem oranı hala aynı kaldı.,0
Fsu toplamaya başladık ama nem yüzdesi hiç değişmedi.,0
Fsu alımına devam etmemize rağmen nemde hiçbir değişiklik yok.,0
"Çok hızlı bir şekilde ulaştı, etkisi hemen hissedildi.",1
"Kısa sürede teslim edildi, etkisine şaşırdım.",1
"Çok kısa zamanda elime geçti, gerçekten bana yardımcı oldu.",1
"Hemen etkisini gösterdi, çok kısa sürede teslim edildi.",1
"Elime çok kısa bir sürede ulaştı, şimdiye kadar aldığım en iyi ürün.",1
"Etkisini hemen hissettim, kesinlikle tereddüt etmeden satın alabilirsiniz.",1
"İlk günden beri büyük fayda sağladı, almadan önce düşünmeyin.",1
"Çok hızlı bir şekilde elime ulaştı, mükemmel bir deneyim oldu.",1
Kısa bir sürede teslim edildi ve gerçekten etkisi harikaydı.,1
"Etkisini hemen hissettim, kesinlikle düşünmeden satın alabilirsiniz.",1
"Önerileri dikkate alarak seçim yaptım, ancak sonuç tam bir hüsran oldu.",0
Markanın güvenilirliğine inanarak aldım ama hayal kırıklığına uğradım.,0
"Tam anlamıyla hiçbir işe yaramadı, biraz para tasarrufu yapmak için almaktan vazgeçin.",0
"Satın almadan önce yorumları okudum, ama yanıldım. ",0
"Bu ürüne çok para ödedim ama işe yaramadı, kandırıldım.",0
"İnternetten satın aldım ancak beklediğim gibi çıkmadı, pişman oldum.",0
Arkadaşlarımın tavsiyesi üzerine aldım ama hiç memnun kalmadım.,0
"Bu ürün tam bir hayal kırıklığı, almayı düşünenlere tavsiye etmiyorum.",0
Ucuz diye aldım ama doğru dürüst işe yaramadı.,0
"Bu ürün hiçbir şekilde beklentilerimi karşılamadı, pişman oldum.",0
Haydi yapalım! ,0
İşte burada! ,0
Kolay gelsin! ,0
"Tamam, anladım. ",0
Biraz bekleyin. ,0
Şimdi ne yapacağız? ,0
Sorun değil. ,0
Bana yardımcı olabilir misin? ,0
Neden böyle düşünüyorsun? ,0
"Tamam, yaparız.",0
Paket elime ulaştı ama ürün bozuktu tam istediğim gibi değildi.,0
"İstediğim ürün gelmedi, yerine başka bir şey yollamışlar.",0
"Beklediğim kalitede bir ürün değil, iade etmeye karar verdim.",0
Hızlı bir şekilde teslimat yapıldı ancak üründe bazı eksiklikler var.,0
"Ürün ambalajı hasarlı bir şekilde geldi, içinde ne olduğunu bile anlamadım.",0
"Ürünün fiyatı yüksek ancak kalitesiz, hayal kırıklığı yaşadım.",0
İnternetten sipariş verdim ama ürün görseldekiyle tam olarak aynı değil.,0
"Ürünü denedim fakat beklentilerimi karşılamadı, geri göndermeye karar verdim.",0
"Ürünle ilgili çok fazla olumsuz yorum vardı, ben de kendim deneyip doğruladım.",0
"Ürünler istediğim gibi değiller, mağaza ile iletişime geçip çözüm arıyorum.",0
Fosforlu lambalar enerji tasarrufu sağlar.,0
Floresan ampuller aydınlatma kalitesini artırır.,0
LED ışıklar daha az enerji tüketir.,0
Yanıp sönen ışık sinirleri bozar.,0
Sürekli loş ışık göz yorgunluğuna sebep olur.,0
Doğru ayarlanmamış spot ışıklar lekeli aydınlatma yaratır.,0
Yetersiz ışık görüş mesafesini kısaltır.,0
Karartılmış oturma odaları sıcak ve samimi bir atmosfer yaratır.,0
Gün ışığı depresyonun azaltılmasına yardımcı olur.,0
Tam renkli spektrumlu ışık kaynakları renkleri daha canlı hale getirir.,0
"İki senedir kullanıyorum, fena değil.",1
"Üç sene boyunca kullanmıştım, pek kötü değil.",1
"Dört sene önceye kadar kullanıyordum, fena sayılmazdı.",1
"Beş sene süreyle kullandım, kötü değildi.",1
"Altı sene boyunca kullandım, hiç fena değil.",1
"Yedi sene boyunca ilgili cihazı kullandım, fena olmadı.",1
"Sekiz sene boyunca kullandığım cihazı değiştirmek zorunda kalmadım, fena değildi.",1
"Dokuz sene kadar kullandım, kötü değil.",1
"On sene süreyle kullanımımı sürdürdüm, pek kötü değil.",1
"On bir senelik kullanım süremde çok sorun yaşamadım, fena değil.",1
Telefonun şarjı çabuk bitiyor ve ısınıyor.,0
Cihazın bataryası hızlı tükeniyor ve sıcaklık artıyor.,0
Akıllı telefon bataryası çabuk boşalıyor ve aşırı ısınıyor.,0
Telefonun pil ömrü kısa ve çok ısınıyor.,0
Pil tüketimi yüksek ve cihaz aşırı ısınıyor.,0
Cep telefonu bataryası çabuk tükeniyor ve ısınıyor.,0
Cihazın batarya ömrü kısa ve aşırı ısınıyor.,0
Telefonun şarjı çabuk tükeniyor ve aşırı ısınıyor.,0
Akıllı telefon sıcaklık yükseliyor ve pil hızlı tükeniyor.,0
Batarya ömrü az ve cihaz sıcaklık nedeniyle sorun yaratıyor.,0
"Arkadaşımın önerisi üzerine farklı markalardan değil, LG’den televizyon aldım.",1
Samsung'dan aldığım telefon çabuk şarj oluyor ve batarya ömrü uzun.,1
Siemens marka çamaşır makinesi performansı oldukça iyi ancak hesaplı olmadığı için tercih etmedim.,1
"Arçelik’in buzdolabı modelleri hem şık, hem de teknik özellikleriyle beklentilerimi karşılıyor.",1
Philips’ten aldığım kulaklık ses kalitesi bakımından diğer markalardan önde.,1
Bosch’un aspiratör modelleri oldukça sessiz çalışıyor ve performansıyla dikkat çekiyor.,1
Tefal marka tava ve tencereler kaliteli malzemesi sayesinde çok dayanıklı.,1
HP marka bilgisayarları hem tasarımı hem de teknik özellikleriyle öne çıkıyor.,1
Sony televizyonları diğer markalardan daha pürüzsüz görüntü verebiliyor ve büyüleyici bir özellik gösteriyor.,1
Müşteri memnuniyeti için yıllardır tercih ettiğimiz Philips marka ampuller ekonomik ve uzun ömürlü kullanımı sağlıyor.,1
"Bu ürünü yıllardır kullanıyorum, ancak son alışverişimde ürünün kalitesinde düşüş fark ettim.",0
"Ucuz olduğu için buradan aldım, ancak sonuçta o kadar para boşa gitti.",0
"Kullandığım ürünün etkisinde bir değişiklik fark edemedim, belki de başka bir marka denemeliyim.",0
Eşim bu ürünü önerdi ancak benim için etkisiz kaldı.,0
İnternetten alışveriş yapmak her zaman daha rahat ve uygun fiyatlı olabilir.,0
"Artık ürünleri daha dikkatli seçmeliyim, çünkü son denememde hayal kırıklığına uğradım.",0
İnternetten aldığım ürünler genellikle daha hızlı teslim ediliyor.,0
Daha önce kullanmadığım bir markadan ürün denemek için cesaret edemedim.,0
Bu ürüne olan bağımlılığımı kırabilmek için farklı alternatifler arıyorum.,0
Çocuğum için aldığım üründe bir problem yaşadığımdan beri daha özenli seçimler yapıyorum.,0
"Ürün kalitesi çok iyi, kargoda sorun yaşamadım. Teşekkürler!",1
Siparişim eksiksiz ve kısa sürede teslim edildi. Teşekkür ederim.,1
"Hizmetinizden çok memnun kaldım, teşekkür ederim.",1
"Ürünlerinizin kalitesi harika, kargo da hızlı geldi. Teşekkürler!",1
"Kargom tam zamanında geldi, ürünler de kaliteli. Teşekkür ederim.",1
Ürünlerim sorunsuz ve hızlı bir şekilde teslim edildi. Teşekkürler!,1
"Hizmetinizden çok memnun kaldım, kaliteli ürünlerle birleşince harika oldu. Teşekkür ederim.",1
"İyi bir fiyat ve hızlı teslimat, teşekkür ederim.",1
Ürünlerinizdeki kalite ve hızlı kargolama için teşekkür ederim.,1
"Kargo ve ürünlerdeki kalite için teşekkür ederim, çok memnun kaldım.",1
Bu üründen uzak durmanızı öneririm.,0
Bu ürünü denemenizi tavsiye etmem.,0
Bu ürün hakkında söyleyeceğim şeyler pek olumlu değil.,0
Bu ürünün hiçbir özelliği beni tatmin etmedi.,0
"Maalesef, bu ürün çok kalitesiz.",0
"Eğer iyi bir ürün arıyorsanız, bu doğru seçim değil.",0
"Benim deneyimime göre, bu üründen kaçınmanız en iyisi olur.",0
Bu ürün hakkındaki yorumlar pek iç açıcı değil.,0
"Umarım bu ürünü aldırmazsınız, pişman olabilirsiniz.",0
Bence başka bir ürün tercih etmeniz daha iyi olur.,0
"Ürünüm hızlı bir şekilde elime ulaştı, teşekkür ederim.",1
"Siparişim gizli paket içinde geldi, teşekkür ederim.",1
"Teslimat çok hızlı oldu, teşekkürler.",1
"Ürünü güvenli bir şekilde aldım, teşekkürler.",1
"Siparişim sorunsuz bir şekilde elime ulaştı, teşekkür ederim.",1
"Teslimat çok başarılıydı, teşekkürler.",1
"Ürünüm beklediğimden daha hızlı geldi, teşekkür ederim.",1
"Teslimatın hızı beni şaşırttı, teşekkürler.",1
"Siparişim beklentilerimi aştı, teşekkür ederim.",1
"Ürünüm çok hızlı bir şekilde elime ulaştı, teşekkür ederim.",1
"FMACH 3 kullanımını bıraktım, çok pahalıydı.",1
"FMACH 3'ü kullanmayı bıraktım, kalitesi düşüktü.",1
"FMACH 3'ten vazgeçtim, yeni bir tıraş makinesi aldım.",1
"FMACH 3'ü kullanmaktan vazgeçtim, çok yavaş kesiyordu.",1
"FMACH 3 tıraş makinesi kullanmayı bıraktım, cildim alerjik reaksiyon gösterdi.",1
FMACH 3'e para harcamak yerine farklı bir marka tercih ettim.,1
"FMACH 3 tıraş makinesini kullanmaktan vazgeçtim, daha gelişmiş bir model arıyorum.",1
"FMACH 3'ten sıkıldım, eski yöntemle tıraş olmaya karar verdim.",1
"FMACH 3 kullanımını bıraktım, daha doğal bir tıraş yöntemi deneyimledim.",1
"FMACH 3'ü kullanmak için zamanım yoktu, manuel tıraş bıçağına geçtim.",1
Tıklamanız gereken yeri gösterelim mi?,0
Sorununuza bir çözüm bulabilir miyiz?,0
Bu sorun sıkça mı oluyor?,0
Ekran boyutunu değiştirelim mi?,0
Kullanabileceğiniz farklı bir yöntem var mı?,0
Bu problemi çözmek için ne yapmamız gerekiyor?,0
Bu sorun sadece sizde mi var?,0
Başka bir bilgisayar ile deneyebilir misiniz?,0
Sisteminizi tekrar başlatmanızı öneririm.,0
Bu ekrana yaklaşma ve donma problemi hakkında daha fazla bilgi verebilir misiniz?,0
"Resimdeki gibi tasarlanmış, ancak kullanışsız.",0
Çalışma hızı yüksek ancak kullanım rahatlığı düşük.,0
"Kullanımı kolay değil, kabul edilemez.",0
"Ele rahatça oturmuyor, birçok kullanıcı için uygun değil.",0
"Kullanımı zor, eldeki diğer modeller kadar verimli değil.",0
"Hızlı çalışıyor, ancak kullanılabilirliği sorunlu.",0
"Ufak boyutu, büyük eller için uygun değil.",0
"Ergonomisi yetersiz, elinizi yorabilir.",0
"Kullanımı zahmetli, pozitif özellikleri tartışmalı.",0
"Malesef kullanışlı değil, diğer modellere göre eksik kalıyor.",0
Bu araba katalogda sade görünüyor ama gerçekte çok lüks.,1
Bu yemek tarifi resimde basit gözüküyor ama tadı harika.,1
Bu gömlek fotoğraflarda pek güzel gözükmüyor ama üstün kalite.,1
Bu film eleştirilerde kötü yorumlar almış ama aslında harika.,1
Bu ev ilanında küçük gibi görünebilir ama içi ferah.,1
Bu müzik albümü kapakta sade duruyor ama mükemmel bir prodüksiyon.,1
Bu kalem internet sayfasında ucuz görünse de kalite pahalıya alınır.,1
Bu ayakkabı ağır görünebilir ama çok rahat.,1
Bu kitap kısa gibi gözükebilir ancak dolu dolu bir içeriği var.,1
Bu saat süs gibi gözükse de işlevsel bir aksesuar.,1
Çok hızlı koşu.,1
Öğrenciler çok hızlı yazıyor.,1
Araba çok hızlı gidiyor.,1
Parkur çok hızlı ilerliyor.,1
Yarışmacılar çok hızlı yüzüyorlar.,1
İşler çok hızlı ilerliyor.,1
Asansör çok hızlı iniyor.,1
Yazılım çok hızlı çalışıyor.,1
Tren çok hızlı ilerliyor.,1
Gelişmeler çok hızlı gerçekleşiyor.,1
Ayakkabının tabanı oldukça rahat ama üst kısmında birkaç dikiş hatası var.,0
Yastığın dolgusu yumuşak ama kılıfın dikişleri biraz gevşek gibi duruyor.,0
Şapkanın tasarımı hoş ama kalite beklentilerimi karşılamıyor.,0
Pantolonun malzemesi rahat ama beli biraz sıkıyor.,0
Çay bardaklarının şekli kullanışlı ama kalite çok düşük.,0
Montun astarı tam olarak uymuyor ama sıcak tutması iyi.,0
Halının rengi güzel ama dokusu biraz sert.,0
Kabanın kapüşonu pratik ama fermuarı çabuk açılıyor.,0
Sandalyenin oturma yeri rahat ama sırt desteği yetersiz.,0
Kalem seti fiyatına göre iyi ama kırtasiye malzemesi kalitesi pek de iyi değil.,0
Bu siteden Gilette yedeklerimi düzenli olarak alıyorum ve gerçekten memnunum.,1
Gilette yedeklerim için daima bu siteden alışveriş yapıyorum ve kesinlikle tavsiye ederim.,1
Gilette yedeklerimi buradan almayı tercih ediyorum ve deneyimimden dolayı memnunum.,1
Gilette yedeklerim için sürekli olarak bu sitede alışveriş yapıyorum ve sonuçlarından memnun kaldım.,1
Gilette yedekleri için tercih ettiğim site budur ve kesinlikle tavsiye ediyorum.,1
"Buradan Gilette yedeklerimi alıyorum ve her zaman memnunum, tavsiye ederim.",1
Gilette yedekleri için bu siteden alışveriş yapmak benim tercihimdir ve memnunum.,1
Bu siteden alışveriş yaparak Gilette yedeklerimi temin ederim ve tavsiye ederim.,1
"Gilette yedeklerimi her zaman bu siteden alırım ve tavsiye ederim, sonuçlarından memnun kaldım.",1
"Gilette yedeklerim konusunda güvenle bu siteyi tercih edebilirsiniz, ben de buradan alışveriş yapıyorum ve memnunum.",1
Bu yeni dizüstü bilgisayar süper hızlı ama fan sesi çok fazla çıkıyor. ,0
,0
Arabamın performansı çok iyi ama yakıt tüketimi biraz yüksek. ,0
,0
Bu ayakkabılar çok rahat ama ayaklarımı terletiyor. ,0
,0
Bu yeni çamaşır makinesi çok güzel ama deterjan haznesi çok küçük. ,0
,0
Bu restoranın yemekleri lezzetli ama fiyatları biraz yüksek. ,0
,0
Bu oyun konsolu çok eğlenceli ama bazen donuyor. ,0
,0
Bu yeni kulaklık harika ses kalitesine sahip ama kablo çok kısa. ,0
,0
Bu yeni kamera çok iyi fotoğraf çekiyor ama pil ömrü kısa. ,0
,0
Bu spor salonu üyelikleri çok ucuz ama ekipmanlar biraz eski. ,0
,0
Bu yeni bilgisayar monitörüm geniş ekranlı ama parlaklık ayarları yetersiz.,0
Bu yemeği ilk kez deneyeceğim ama hazırlaması kolay ve malzemeler taze görünüyor.,1
"Kitabı daha okumadım ama kargo süresi çok kısa ve paketi sağlam görünüyor, teşekkürler.",1
"Şampuanı kullanmadım ancak kutusu sağlam ve görseli çok hoş, teşekkürler.",1
Filme henüz başlamadım ama DVD kalitesi harika ve hızlı kargolama için teşekkürler.,1
"Kahveyi içmedim ama ambalajı harika ve hediye edilebilir seçenekler arasında, teşekkürler.",1
"Kıyafeti giymedim ama hızlı teslimatla ve güzel şekilde paketlenmiş olarak geldi, teşekkürler.",1
"Kozmetiği daha kullanmadım ama şişesi şık ve markanın kalitesi her zaman güvenilir, teşekkür ederim.",1
"Ayakkabıyı henüz giymedim ancak kutudan çıktığı gibi görüntüsü çok hoş ve kaliteli, teşekkürler.",1
Ürünü daha kullanmadım ama ambalajındaki dikkatli işçilik için teşekkür ederim.,1
Cihazı henüz denemedim ama kutusundaki ekstra aksesuarlar çok faydalı ve hızlı kargolama için teşekkürler.,1
Kokusu rahatsız edici ve beklenildiği gibi değil.,0
Tat farklı ve umulduğu gibi değil.,0
Sesleri rahatsız edici ve dile getirildiği gibi değil.,0
Rengi soluk ve hayal edildiği gibi değil.,0
Şekli değişik ve öngörüldüğü gibi değil.,0
Yapısı zayıf ve beklenildiği gibi değil.,0
Kokusu güzel değil ve övüldüğü gibi değil.,0
Tatlı değil ve düşünüldüğü gibi değil.,0
Görünümü özgün değil ve tanımlandığı gibi değil.,0
Yapılış tarzı öngörülen biçimde değil ve beklenildiği gibi değil.,0
"Sık sık deodorant değiştiren biri olarak yeni çıkan bir markanın ürünlerini denedim, ve sonuç harikaydı.",1
Şampuan markamı değiştirdim ve bu değişimle birlikte saçlarım daha parlak ve canlı oldu.,1
Siyah kalem markamı değiştirdiğimde daha iyi bir yazım deneyimi yaşadım.,1
Yeni bir diş fırçası aldım ve dişlerim her zamankinden daha temiz oldu.,1
Melisa çayını ilk defa denedim ve kokusu o kadar hoştu ki vazgeçilmezim oldu.,1
"Aldığım yastık kılıfı çok rahat ve yumuşaktı, uyku performansımı arttırdı.",1
Ayakkabı markamı değiştirdim ve artık ayaklarım herhangi bir acı hissetmeden gün boyu rahat ediyorum.,1
"Cilt bakım markamda değişikliğe gidince, cildimdeki sivilce ve leke problemleri ortadan kalktı.",1
"Daha önce hiç kullanmadığım bir yüz toniği kullanınca, cildimdeki ferahlık hissi o kadar harikaydı ki tekrar tekrar kullanıyorum.",1
"Yeni bir dudak nemlendiricisi kullandığımda, dudaklarımın daha beslenmiş ve yumuşak hissettiğini fark ettim.",1
Güvenli online alışverişin tek adresi hepsiburada.com,1
En güvenli alışveriş sitesi hepsiburada.com,1
Kaliteli alışverişin adresi hepsiburada.com,1
Sınırsız alışveriş keyfi hepsiburada.com’da yaşanır.,1
"Hepsiburada.com, alışverişte güvenin adresi.",1
Avantajlı alışverişin adresi hepsiburada.com,1
Unutulmaz alışveriş deneyimi hepsiburada.com’da yaşanır.,1
Üstün hizmet kalitesi ile hepsiburada.com alışverişin vazgeçilmezi.,1
"Hepsiburada.com’da gerçekleştireceğiniz alışverişleriniz, güvenle ve kolaylıkla gerçekleşir.",1
Tek tıkla güvenli alışveriş hepsiburada.com’da.,1
Ben de çok memnunum. ,1
